team,nickname,city,state,conf,zip
Air Force,Falcons,Colorado Springs,Colorado,Mountain West,80840
Akron,Zips,Akron,Ohio,MAC,44304
Alabama,Crimson Tide,Tuscaloosa,Alabama,SEC,35487
Appalachian State,Mountaineers,Boone,North Carolina,Sun Belt,28608
Arizona,Wildcats,Tucson,Arizona,Pac-12,85721
Arizona State,Sun Devils,Tempe,Arizona,Pac-12,85287
Arkansas,Razorbacks,Fayetteville,Arkansas,SEC,72701
Arkansas State,Red Wolves,Jonesboro,Arkansas,Sun Belt,72401
Army (West Point),Black Knights,West Point,New York,Independent,10996
Auburn,Tigers,Auburn,Alabama,SEC,36849
BallState,Cardinals,Muncie,Indiana,MAC,47306
Baylor,Bears,Waco,Texas,Big 12,76706
Boise State,Broncos,Boise,Idaho,Mountain West,83725
Boston College,Eagles,Chestnut Hill,Massachusetts,ACC,2467
Bowling Green,Falcons,Bowling Green,Ohio,MAC,43403
Buffalo,Bulls,Buffalo,New York,MAC,14260
Brigham Young,Cougars,Provo,Utah,Independent,84602
California,Golden Bears,Berkeley,California,Pac-12,94704
California State - Fresno,Bulldogs,Fresno,California,Mountain West,93740
California - Los Angeles,Bruins,Los Angeles,California,Pac-12,90095
Central Florida,Knights,Orlando,Florida,American,32816
Central Michigan,Chippewas,Mount Pleasant,Michigan,MAC,48859
Charlotte,49ers,Charlotte,North Carolina,C-USA,28223
Cincinnati,Bearcats,Cincinnati,Ohio,American,45220
Clemson,Tigers,Clemson,South Carolina,ACC,29634
Colorado,Buffaloes,Boulder,Colorado,Pac-12,80309
Colorado State,Rams,Fort Collins,Colorado,Mountain West,80523
Connecticut,Huskies,Storrs,Connecticut,American,6269
Duke,Blue Devils,Durham,North Carolina,ACC,27708
Eastern Michigan,Eagles,Ypsilanti,Michigan,MAC,48197
East Carolina,Pirates,Greenville,North Carolina,American,27858
Florida,Gators,Gainesville,Florida,SEC,32611
Florida Atlantic,Owls,Boca Raton,Florida,C-USA,33431
FloridaInternational,Panthers,Miami,Florida,C-USA,33199
Florida State,Seminoles,Tallahassee,Florida,ACC,32306
Georgia,Bulldogs,Athens,Georgia,SEC,30602
Georgia Southern,Eagles,Statesboro,Georgia,Sun Belt,30458
Georgia State,Panthers,Atlanta,Georgia,Sun Belt,30302
Georgia Tech,Yellow Jackets,Atlanta,Georgia,ACC,30332
Hawai'i,Rainbow Warriors,Honolulu,Hawai'i,Mountain West,96822
Houston,Cougars,Houston,Texas,American,77004
Idaho,Vandals,Moscow,Idaho,Sun Belt,83844
Illinois,Fighting Illini,Urbana,Illinois,Big Ten,61801
Indiana,Hoosiers,Bloomington,Indiana,Big Ten,47405
Iowa,Hawkeyes,Iowa City,Iowa,Big Ten,52240
Iowa State,Cyclones,Ames,Iowa,Big 12,50011
Kansas,Jayhawks,Lawrence,Kansas,Big 12,66045
Kansas State,Wildcats,Manhattan,Kansas,Big 12,66506
Kent State,Golden Flashes,Kent,Ohio,MAC,44240
Kentucky,Wildcats,Lexington,Kentucky,SEC,40506
Louisiana State,Tigers,Baton Rouge,Louisiana,SEC,70803
Louisiana Tech,Bulldogs,Ruston,Louisiana,C-USA,71272
Louisiana-Lafayette,Ragin' Cajuns,Lafayette,Louisiana,Sun Belt,70504
Louisiana-Monroe,Warhawks,Monroe,Louisiana,Sun Belt,71209
Louisville,Cardinals,Louisville,Kentucky,ACC,40292
Marshall,Thundering Herd,Huntington,West Virginia,C-USA,25755
Maryland,Terrapins,College Park,Maryland,Big Ten,20742
Massachusetts,Minutemen,Amherst,Massachusetts,MAC,1003
Memphis,Tigers,Memphis,Tennessee,American,38111
Miami (FL),Hurricanes,Coral Gables,Florida,ACC,33146
Miami (OH),Red Hawks,Oxford,Ohio,MAC,45056
Michigan,Wolverines,Ann Arbor,Michigan,Big Ten,48109
Michigan State,Spartans,East Lansing,Michigan,Big Ten,48824
Middle Tennessee,Blue Raiders,Murfreesboro,Tennessee,C-USA,37132
Minnesota,Golden Gophers,Minneapolis,Minnesota,Big Ten,55455
Mississippi,Rebels,Oxford,Mississippi,SEC,38677
Mississippi State,Bulldogs,Starkville,Mississippi,SEC,39759
Missouri,Tigers,Columbia,Missouri,SEC,65211
Navy,Midshipmen,Annapolis,Maryland,American,21402
Nebraska,Cornhuskers,Lincoln,Nebraska,Big Ten,68588
Nevada,Wolf Pack,Reno,Nevada,Mountain West,89503
Nevada - Las Vegas,Rebels,Las Vegas,Nevada,Mountain West,89154
New Mexico,Lobos,Albuquerque,New Mexico,Mountain West,87131
New Mexico State,Aggies,Las Cruces,New Mexico,Sun Belt,88003
North Carolina,Tar Heels,Chapel Hill,North Carolina,ACC,27514
North Carolina State,Wolfpack,Raleigh,North Carolina,ACC,27695
North Texas,Mean Green,Denton,Texas,C-USA,76203
Northern Illinois,Huskies,DeKalb,Illinois,MAC,60115
Northwestern,Wildcats,Evanston,Illinois,Big Ten,60208
Notre Dame,Fighting Irish,South Bend,Indiana,Independent,46556
Ohio,Bobcats,Athens,Ohio,MAC,45701
Ohio State,Buckeyes,Columbus,Ohio,Big Ten,43210
Oklahoma,Sooners,Norman,Oklahoma,Big 12,73019
Oklahoma State,Cowboys,Stillwater,Oklahoma,Big 12,74074
Old Dominion,Monarchs,Norfolk,Virginia,C-USA,23529
Oregon,Ducks,Eugene,Oregon,Pac-12,97403
Oregon State,Beavers,Corvallis,Oregon,Pac-12,97331
Penn State,Nittany Lions,State College,Pennsylvania,Big Ten,16801
Pittsburgh,Panthers,Pittsburgh,Pennsylvania,ACC,15260
Purdue,Boilermakers,West Lafayette,Indiana,Big Ten,47907
Rice,Owls,Houston,Texas,C-USA,77005
Rutgers,Scarlet Knights,Piscataway,New Jersey,Big Ten,7102
San Diego State,Aztecs,San Diego,California,Mountain West,92182
San Jose State,Spartans,San Jose,California,Mountain West,95192
South Alabama,Jaguars,Mobile,Alabama,Sun Belt,36608
South Carolina,Gamecocks,Columbia,South Carolina,SEC,29208
South Florida,Bulls,Tampa,Florida,American,33620
Southern California,Trojans,Los Angeles,California,Pac-12,90007
Southern Methodist,Mustangs,University Park,Texas,American,75275
Southern Miss,Golden Eagles,Hattiesburg,Mississippi,C-USA,39406
Stanford,Cardinal,Stanford,California,Pac-12,94305
Syracuse,Orange,Syracuse,NewYork,ACC,13210
Temple,Owls,Philadelphia,Pennsylvania,American,19122
Tennessee,Volunteers,Knoxville,Tennessee,SEC,37996
Texas,Longhorns,Austin,Texas,Big 12,78712
Texas A&M,Aggies,College Station,Texas,SEC,77840
Texas Christian,Horned Frogs,Fort Worth,Texas,Big 12,76129
Texas State,Bobcats,San Marcos,Texas,Sun Belt,78666
Texas Tech,Red Raiders,Lubbock,Texas,Big 12,79409
Texas - El Paso,Miners,El Paso,Texas,C-USA,79902
Texas - San Antonio,Roadrunners,San Antonio,Texas,C-USA,78249
Toledo,Rockets,Toledo,Ohio,MAC,43606
Troy,Trojans,Troy,Alabama,Sun Belt,36082
Tulane,Green Wave,New Orleans,Louisiana,American,70118
Tulsa,Golden Hurricane,Tulsa,Oklahoma,American,74104
Utah,Utes,Salt Lake City,Utah,Pac-12,84112
Utah State,Aggies,Logan,Utah,Mountain West,84322
Vanderbilt,Commodores,Nashville,Tennessee,SEC,37235
Virginia,Cavaliers,Charlottesville,Virginia,ACC,22904
Virginia Tech,Hokies,Blacksburg,Virginia,ACC,24061
Wake Forest,Demon Deacons,Winston-Salem,North Carolina,ACC,27106
Washington,Huskies,Seattle,Washington,Pac-12,98195
Washington State,Cougars,Pullman,Washington,Pac-12,99163
West Virginia,Mountaineers,Morgantown,West Virginia,Big 12,26506
Western Kentucky,Hilltoppers,Bowling Green,Kentucky,C-USA,42101
Western Michigan,Broncos,Kalamazoo,Michigan,MAC,49008
Wisconsin,Badgers,Madison,Wisconsin,Big Ten,53706
Wyoming,Cowboys,Laramie,Wyoming,Mountain West,82071
